Block Size	File	Number of Hashes	Number of Unique Hashes
2048	haar0	513	513
2048	haar1	513	513
2048	haar5	513	513
2048	haar10	513	513
2048	haar15	513	513
2048	haar20	513	513
2048	haar_sine_1	513	36
2048	haar_sine_6	513	36
2048	haar_sine_9	513	36
2048	haar_test	513	259
2048	haar_test_org	513	259
4096	haar0	257	257
4096	haar1	257	257
4096	haar5	257	257
4096	haar10	257	257
4096	haar15	257	257
4096	haar20	257	257
4096	haar_sine_1	257	31
4096	haar_sine_6	257	31
4096	haar_sine_9	257	31
4096	haar_test	257	131
4096	haar_test_org	257	131
8192	haar0	129	129
8192	haar1	129	129
8192	haar5	129	129
8192	haar10	129	129
8192	haar15	129	129
8192	haar20	129	129
8192	haar_sine_1	129	26
8192	haar_sine_6	129	26
8192	haar_sine_9	129	26
8192	haar_test	129	67
8192	haar_test_org	129	67
16384	haar0	65	65
16384	haar1	65	65
16384	haar5	65	65
16384	haar10	65	65
16384	haar15	65	65
16384	haar20	65	65
16384	haar_sine_1	65	21
16384	haar_sine_6	65	21
16384	haar_sine_9	65	21
16384	haar_test	65	35
16384	haar_test_org	65	35
32768	haar0	33	33
32768	haar1	33	33
32768	haar5	33	33
32768	haar10	33	33
32768	haar15	33	33
32768	haar20	33	33
32768	haar_sine_1	33	16
32768	haar_sine_6	33	16
32768	haar_sine_9	33	16
32768	haar_test	33	19
32768	haar_test_org	33	19
65536	haar0	17	17
65536	haar1	17	17
65536	haar5	17	17
65536	haar10	17	17
65536	haar15	17	17
65536	haar20	17	17
65536	haar_sine_1	17	11
65536	haar_sine_6	17	11
65536	haar_sine_9	17	11
65536	haar_test	17	11
65536	haar_test_org	17	11
131072	haar0	9	9
131072	haar1	9	9
131072	haar5	9	9
131072	haar10	9	9
131072	haar15	9	9
131072	haar20	9	9
131072	haar_sine_1	9	7
131072	haar_sine_6	9	7
131072	haar_sine_9	9	7
131072	haar_test	9	7
131072	haar_test_org	9	7
262144	haar0	5	5
262144	haar1	5	5
262144	haar5	5	5
262144	haar10	5	5
262144	haar15	5	5
262144	haar20	5	5
262144	haar_sine_1	5	5
262144	haar_sine_6	5	5
262144	haar_sine_9	5	5
262144	haar_test	5	5
262144	haar_test_org	5	5
